country_code,country_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Jan-Oct 18,Jan-Oct 19
2230,Costa Rica,,,8,,,,,,,,5,5,6,233,,377,21,211,337,112,463,586,615,400,368,290,689,491,791
5820,Hong Kong,,,,,,,,,,,,,216,174,128,332,193,,163,88,44,88,92,49,101,259,206,152,
2410,Jamaica,7,58,128,116,164,214,219,105,47,61,42,40,9,,1,48,,,,,,,,,,,,,
3330,Peru,,,,,,,,,,,,,,,,44,42,,,37,75,,35,370,183,220,219,219,360
3510,Brazil,,,,,,,,,,18,108,59,,4,,20,4,,,,,,,38,78,34,327,253,21
3370,Chile,,,,,,,,,,,,1,,102,80,66,147,,,13,88,44,,,,,,,33
2190,Nicaragua,,,2,65,54,174,48,12,1,37,54,19,24,6,,,,,,,11,1,,,,,10,10,
1220,Canada,2,,,7,,58,77,17,38,18,11,,18,,,52,,,,,,,,,,,6,,
5880,Japan,,0,0,,,,,,47,,,40,40,,120,44,,,,,,,,,,5,,,
4039,Norway,,,,,,,,,,,,,,,,,,2,,289,,,,,,,,,
3570,Argentina,,,,,,,,,,,,,,,,60,,,,166,,,,,,,60,,
5460,Myanmar (Burma),,,,,,,,,,,5,42,,,,,,,,,,2,56,168,,,,,
5330,India,,,,,,,,108,,,,,,,92,,,,,42,,,,,,,,,
5800,South Korea,,,,,,,,,,44,,3,40,87,6,,,,,,27,,,,,,,,
7960,Zimbabwe,,,,142,31,,,,,,,,,,,,,,,,,,,,,,,,
5650,Philippines,,,,,11,,41,,,5,,,,,44,,38,4,20,4,,,,,,,,,
6141,New Zealand,,,,,,,,,,44,,,,,,,,114,,,,,,,,,,,
3010,Colombia,,,,,,,,,,,9,,,,,20,,,8,,12,,,,,,95,26,98
7490,Ghana,,,,,,,,,,,,,,41,,,12,,,,0,,,,11,26,20,17,5
7790,Kenya,,5,33,,29,,,,,,,,,,,,,,,,,,,,,,,,
4120,United Kingdom,,,,,,,,,,,40,,,,,,,,,,,,18,,,5,,,
7830,Tanzania,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,
4010,Sweden,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
7420,Cameroon,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,
6150,Western Samoa,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,
2080,Belize,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,
4700,Spain,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
4759,Italy,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
4635,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,
6863,Fiji,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,
4210,Netherlands,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,
3070,Venezuela,,,,,,,,24,,,8,,,,,,,,,,,,,,,,,,
5200,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
5590,Singapore,,,2,,,9,,,,,,,,,,,,,,,,,,,,,,,
7850,Mauritius,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
5380,Bangladesh,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
2050,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
2110,El Salvador,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,"Total
 ",320,"1,350","5,175","4,776","3,743","5,509","5,944","10,960","11,433","16,252","27,019","51,264","79,818","122,714","163,991","221,958","228,561","253,044","332,518","291,993","371,018","352,474","363,572","348,459","286,973","266,869","272,128","203,746","189,145"
